"App","Disposition","Reason"
"SyncBackPro","Skip-Licensed","licensed sync/FTP tools; free WinSCP/FileZilla-class covered"
"Synology Cloud Station Backup","Skip-EOL","replaced by Drive Client"
"Synology Cloud Station Drive","Skip-EOL","replaced by Drive Client (Add)"
"Synology Drive Client","Add","free client, direct download"
"Synology Evidence Integrity Authenticator","Skip-Niche","niche forensic tool"
"Sysprogs SmarTTY","Add","free direct download, enterprise-relevant; port target"
"Tabular Editor 2","Add","free direct download, enterprise-relevant; port target"
"TablePlus","Skip-Licensed","licensed DB GUI"
"Tableau Desktop 2022","Skip-Wall","Tableau downloads sit behind account/EULA wall (catalog itself is stuck on 2022/23)"
"Tableau Prep Builder 2022","Skip-Wall","Tableau downloads sit behind account/EULA wall (catalog itself is stuck on 2022/23)"
"Tableau Prep Builder 2023","Skip-Wall","Tableau downloads sit behind account/EULA wall (catalog itself is stuck on 2022/23)"
"Tailscale","Add","free direct download, enterprise-relevant; port target"
"Talkdesk","Skip-Agent","UC/telephony clients provisioned per tenant"
"TDP SecureAnyBox Agent","Skip-Agent","tenant PAM agent"
"TDP SecureAnyBox Launcher","Skip-Agent","tenant PAM companion"
"TeamCity","Skip-Niche","server product, not endpoint software"
"TeamDrive","Skip-Licensed","licensed sync"
"TeamSpeak client","Add","free direct download, enterprise-relevant; port target"
"TeamViewer Host","Supported","existing packager: teamviewerhost"
"TED Notepad","Skip-EOL","abandoned"
"TELUS Business Connect Phone","Skip-Agent","UC/telephony clients provisioned per tenant"
"Temperature Technology T-TEC","Skip-Niche","logger hardware vertical"
"Teracopy for Windows","Add","free direct download, enterprise-relevant; port target"
"TextExpander","Skip-Agent","account-tied SaaS client"
"TGRMN Software Bulk Rename Utility","Add","freeware (business use free), direct download"
"The Document Foundation LibreOffice 6.2","Skip-Splinter","old LibreOffice branches; latest still supported"
"The Document Foundation LibreOffice 6.3","Skip-Splinter","old LibreOffice branches; latest still supported"
"The Document Foundation LibreOffice 6.4","Skip-Splinter","old LibreOffice branches; latest still supported"
"The Document Foundation LibreOffice 7.4","Skip-Splinter","old LibreOffice branches; latest still supported"
"The Document Foundation LibreOffice 7.4 Help Pack","Skip-Splinter","old LibreOffice branches; latest still supported"
"The Document Foundation LibreOffice 7.5","Skip-Splinter","old LibreOffice branches; latest still supported"
"The Document Foundation LibreOffice 7.5 Help Pack","Skip-Splinter","old LibreOffice branches; latest still supported"
"The Document Foundation LibreOffice 7.5 SDK","Skip-Splinter","old LibreOffice branches; latest still supported"
"The Document Foundation LibreOffice 24","Supported","libreoffice packager tracks latest still"
"The Document Foundation LibreOffice 24 Help Pack","Supported","libreoffice packager tracks latest still"
"ThinkPad TrackPoint Keyboard II Software","Skip-Component","OEM device utilities; deploy via OEM tooling where hardware-matched"
"Thonny","Add","free direct download, enterprise-relevant; port target"
"Thycotic Application Control Agent","Skip-Agent","PAM agents tied to tenant infrastructure"
"Thycotic Directory Services Agent","Skip-Agent","PAM agents tied to tenant infrastructure"
"Thycotic Local Security Agent","Skip-Agent","PAM agents tied to tenant infrastructure"
"Tidio","Skip-Niche","SaaS wrapper"
"TightVNC","Add","free direct download, enterprise-relevant; port target"
"TI-Nspire CX CAS Student Software","Skip-Niche","education vertical"
"TI-Nspire CX Premium Teacher Software","Skip-Niche","education vertical"
"TI-SmartView CE-T","Skip-Niche","education vertical"
"Topaz SigPlusExtLite","Skip-Component","signature-pad driver component"
"TortoiseGit","Supported","existing packager: tortoisegit"
"TortoiseSVN","Supported","existing packager: tortoisesvn"
"TortoiseSVN ipv6","Skip-Splinter","variant build; tortoisesvn supported"
"TortoiseHg","Add","free direct download, enterprise-relevant; port target"
"TransIP STACK","Skip-Niche","vertical/regional line-of-business software"
"Tribler","Skip-Niche","consumer media software"
"Trimble Connect","Skip-Niche","construction vertical"
"TSPrint Client","Skip-Component","server-paired printing client"
"Turbo Studio","Skip-Licensed","licensed app-virt studio"
"Turbo.net Desktop","Skip-Agent","tenant streaming client"
"TurboVNC","Add","free direct download, enterprise-relevant; port target"
"Typora","Add","free direct download, enterprise-relevant; port target"
"UEStudio","Skip-Licensed","licensed IDM/UltraEdit family"
"UltraCompare","Skip-Licensed","licensed IDM/UltraEdit family"
"UltraFinder","Skip-Licensed","licensed IDM/UltraEdit family"
"UltraFTP","Skip-Licensed","licensed IDM/UltraEdit family"
"Ultimaker Cura","Add","free direct download, enterprise-relevant; port target"
"UltraMon","Skip-Licensed","licensed IDM/UltraEdit family"
"UltraVNC","Add","free direct download, enterprise-relevant; port target"
"UltraViewer","Skip-Niche","consumer remote tool"
"UNIVERGE BLUE CONNECT","Skip-Agent","UC/telephony clients provisioned per tenant"
"Unity Hub","Add","free direct download, enterprise-relevant; port target"
"UrBackup Client","Add","free direct download, enterprise-relevant; port target"
"Vagrant","Add","free direct download, enterprise-relevant; port target"
"VariCAD","Skip-Licensed","licensed CAD (viewer added separately)"
"VariCAD Viewer","Add","free direct download, enterprise-relevant; port target"
"VeraCrypt","Add","free direct download, enterprise-relevant; port target"
"VEXcode IQ 3","Skip-Niche","education vertical"
"VEXcode V5","Skip-Niche","education vertical"
"VideoScribe","Skip-Licensed","licensed creative software"
"Vim","Supported","existing packager: vim"
"Visual Paradigm Project Viewer","Skip-Licensed","licensed suite viewer"
"VMware Horizon Client 4.5","Skip-Splinter","old Horizon Client builds; latest tracked by one packager"
"VMware Horizon Client 4.6","Skip-Splinter","old Horizon Client builds; latest tracked by one packager"
"VMware Horizon Client 4.7","Skip-Splinter","old Horizon Client builds; latest tracked by one packager"
"VMware Horizon Client 4.8.1","Skip-Splinter","old Horizon Client builds; latest tracked by one packager"
"VMware Horizon Client 5.0","Skip-Splinter","old Horizon Client builds; latest tracked by one packager"
"VMware Horizon Client 5.2","Skip-Splinter","old Horizon Client builds; latest tracked by one packager"
"VMware Horizon Client 5.3","Skip-Splinter","old Horizon Client builds; latest tracked by one packager"
"VMware Horizon Client 5.4.2","Skip-Splinter","old Horizon Client builds; latest tracked by one packager"
"VMware Horizon Client 5.4.3","Skip-Splinter","old Horizon Client builds; latest tracked by one packager"
"VMware Horizon Client 5.5","Skip-Splinter","family collapsed to one packager (represented by 'VMware Horizon Client 2209')"
"VMware Horizon Client 2006","Skip-Splinter","old Horizon Client builds; latest tracked by one packager"
"VMware Horizon Client 2012","Skip-Splinter","old Horizon Client builds; latest tracked by one packager"
"VMware Horizon Client 2103","Skip-Splinter","old Horizon Client builds; latest tracked by one packager"
"VMware Horizon Client 2209","Add","one Omnissa Horizon Client packager tracking latest"
"VMware Horizon View Client 3.5","Skip-Splinter","old Horizon Client builds; latest tracked by one packager"
"VMware Horizon View Client 5.4","Skip-Splinter","old Horizon Client builds; latest tracked by one packager"
"voidtools Everything","Supported","existing packager: everything"
"voidtools Everything Lite","Skip-Splinter","everything packager covers the full build"
"VSCodium","Add","free direct download, enterprise-relevant; port target"
"Waterfox","Skip-Niche","niche browser; major engines covered"
"Waterfox Classic","Skip-EOL","legacy branch"
"Wazuh Agent","Skip-Agent","manager-enrolled security agent"
"Webstorm 2022.2","Skip-Splinter","old WebStorm years; latest tracked"
"WebStorm 2024","Add","JetBrains free direct download; tracks latest"
"Western Digital Dashboard","Skip-Component","OEM device utilities; deploy via OEM tooling where hardware-matched"
"Wildix Collaboration","Skip-Agent","UC/telephony clients provisioned per tenant"
"Win10Pcap","Skip-EOL","superseded by Npcap (licensed for redistribution)"
"Wind Financial Terminal","Skip-Niche","vertical/regional line-of-business software"
"WinDirStat","Supported","existing packager: windirstat"
"Windows 10 Codec Pack","Skip-Niche","consumer media software"
"WinMerge","Supported","existing packager: winmerge"
"WinSCP","Supported","existing packager: winscp"
"WireGuard","Add","free direct download, enterprise-relevant; port target"
"Wireshark 4.4","Supported","existing packager: wireshark"
"WiX Toolset 3","Skip-Splinter","v3 legacy; modern WiX is a dotnet tool"
"WizTree","Skip-Wall","direct download link now serves an HTML page (verified 2026-08-31)"
"Wrike","Skip-Niche","SaaS wrapper"
"Xamarin Mono for Windows","Skip-EOL","Mono handed to WineHQ; Xamarin retired"
"Xink Client AD","Skip-Agent","tenant signature management"
"XMind 2020","Skip-Licensed","licensed mind-mapping, old years listed"
"XMind 2021","Skip-Licensed","licensed mind-mapping, old years listed"
"XMind 2022","Skip-Licensed","licensed mind-mapping, old years listed"
"XMind Ltd XMind 2020","Skip-Licensed","licensed mind-mapping, old years listed"
"XMind Ltd XMind 2021","Skip-Licensed","licensed mind-mapping, old years listed"
"XnSoft XnConvert","Skip-Splinter","family collapsed to one packager (represented by 'XnSoft XnView MP')"
"XnSoft XnShell","Skip-Splinter","family collapsed to one packager (represented by 'XnSoft XnView MP')"
"XnSoft XnView Extended","Skip-Splinter","family collapsed to one packager (represented by 'XnSoft XnView MP')"
"XnSoft XnView Minimal","Skip-Splinter","family collapsed to one packager (represented by 'XnSoft XnView MP')"
"XnSoft XnView MP","Add","one XnView MP packager (free for private/edu; classic freeware image tools)"
"XnSoft XnView Standard","Skip-Splinter","family collapsed to one packager (represented by 'XnSoft XnView MP')"
"Yubico Authenticator","Add","free direct download, enterprise-relevant; port target"
"Yubico PIV Tool","Add","free direct download, enterprise-relevant; port target"
"YubiKey Manager CLI","Add","free direct download, enterprise-relevant; port target"
"ZAC","Skip-Component","Zultys UC tenant client"
"ZBrush","Skip-Licensed","licensed creative software"
"Zeal","Add","free direct download, enterprise-relevant; port target"
"Zello","Skip-Agent","UC/telephony clients provisioned per tenant"
"Zivver Office Plugin","Skip-Agent","tenant secure-mail plugin"
"Zoho WorkDrive","Skip-Agent","tenant sync client"
"Zoom Client for Meetings","Supported","zoom packager (Zoom Workplace)"
"Zoom Player","Skip-Component","plugins/VDI/room variants; core client supported"
"Zoom Player Max","Skip-Component","plugins/VDI/room variants; core client supported"
"Zoom Plugin for Microsoft Outlook","Skip-Component","plugins/VDI/room variants; core client supported"
"Zoom Plugin for Skype for Business","Skip-Component","plugins/VDI/room variants; core client supported"
"Zoom Plugin for Windows Virtual Desktop Client","Skip-Component","plugins/VDI/room variants; core client supported"
"Zoom Rooms","Skip-Component","plugins/VDI/room variants; core client supported"
"Zoom VDI Universal Plugin","Skip-Component","plugins/VDI/room variants; core client supported"
"Zorus Archon Agent","Skip-Agent","MSP-keyed filtering agent"
"Zotero","Add","free direct download, enterprise-relevant; port target"
"Zscaler Client Connector 3.6","Skip-Agent","tenant-provisioned connector; portal download tied to org"
"Zscaler Client Connector 3.9","Skip-Agent","tenant-provisioned connector; portal download tied to org"
"Zscaler Client Connector 4.0","Skip-Agent","tenant-provisioned connector; portal download tied to org"
"Zscaler Client Connector 4.1","Skip-Agent","tenant-provisioned connector; portal download tied to org"
"Zscaler Client Connector 4.3","Skip-Agent","tenant-provisioned connector; portal download tied to org"
"Zscaler Client Connector for VDI","Skip-Agent","tenant-provisioned connector; portal download tied to org"
"Zulip","Add","free direct download, enterprise-relevant; port target"
"Zulu JDK 6 (LTS)","Skip-Splinter","non-LTS/ancient Zulu; LTS lines added instead"
"Zulu JDK 7 (LTS)","Skip-Splinter","non-LTS/ancient Zulu; LTS lines added instead"
"Zulu JDK 8 (LTS)","Add","Azul Zulu LTS - free direct downloads, third LTS vendor line"
"Zulu JDK 9 (STS)","Skip-Splinter","non-LTS/ancient Zulu; LTS lines added instead"
"Zulu JDK 10 (STS)","Skip-Splinter","non-LTS/ancient Zulu; LTS lines added instead"
"Zulu JDK 11 (LTS)","Add","Azul Zulu LTS - free direct downloads, third LTS vendor line"
"Zulu JDK 12 (STS)","Skip-Splinter","non-LTS/ancient Zulu; LTS lines added instead"
"Zulu JDK 13 (MTS)","Skip-Splinter","non-LTS/ancient Zulu; LTS lines added instead"
"Zulu JDK 15 (MTS)","Skip-Splinter","non-LTS/ancient Zulu; LTS lines added instead"
"Zulu JDK 16 (STS)","Skip-Splinter","non-LTS/ancient Zulu; LTS lines added instead"
"Zulu JDK 17 (LTS)","Add","Azul Zulu LTS - free direct downloads, third LTS vendor line"
"Zulu JDK 18 (STS)","Skip-Splinter","non-LTS/ancient Zulu; LTS lines added instead"
"Zulu JDK 20 (STS)","Skip-Splinter","non-LTS/ancient Zulu; LTS lines added instead"
"Zulu JRE 7 (LTS)","Skip-Splinter","non-LTS/ancient Zulu; LTS lines added instead"
"Zulu JRE 8 (LTS)","Add","Azul Zulu LTS - free direct downloads, third LTS vendor line"
"Zulu JRE 11 (LTS)","Add","Azul Zulu LTS - free direct downloads, third LTS vendor line"
"Zulu JRE 12 (STS)","Skip-Splinter","non-LTS/ancient Zulu; LTS lines added instead"
"Zulu JRE 13 (MTS)","Skip-Splinter","non-LTS/ancient Zulu; LTS lines added instead"
"Zulu JRE 15 (MTS)","Skip-Splinter","non-LTS/ancient Zulu; LTS lines added instead"
"Zulu JRE 17 (LTS)","Add","Azul Zulu LTS - free direct downloads, third LTS vendor line"
"SpectraPDF (first-party, not in MS catalog)","Added-1.4.0.16","first-party PDF solution; the catalog carries 11 Foxit SKUs, we carry our own [ported, stage-verified 2026-08-31]"
